name,type
L929,Normal
PC3,Cancer
A549,Cancer
HCMEC,Normal
SH­SY5Y,Cancer
H4,Cancer
HEK­293,Normal
A431,Cancer
RAW 264.7,Cancer
Caco­2,Cancer
Fibroblasts,Normal
CD3+ T cells,Normal
CD4+T cells,Normal
B cells,Normal
NK cells,Normal
Monocytes,Normal
T cells (all types),Normal
Naive T­cell,Normal
Memory T­cell,Cancer
Lymphocytes,Normal
SKOV­3,Cancer
Macrophages,Normal
HMEC­1,Normal
HeLa,Cancer
MEF,Cancer
HepG2,Cancer
GH3,Cancer
MCF7,Cancer
CDBgeo,Normal
TD,Cancer
V14,Cancer
PAECs,Normal
T98G,Cancer
MG­63,Cancer
hTERT­BJ1,Normal
PC12,Cancer
VERO,Normal
MDCK,Normal
CHO­K1,Normal
IP15,Cancer
LLC­PK1,Normal
HAEC,Normal
HUVEC,Normal
AGS,Cancer
BEAS­2B,Normal
Neuro­2a,Normal
C18–4,Normal
IMR90,Normal
HMM,Normal
L­02,Normal
PMA activated THP­1,Normal
SVEC4­10,Normal
SK­BR­3,Cancer
primary tissue Macrophage,Normal
primary alveolar Macrophage,Normal
primary alveolar Epithelial cells,Normal
primary alveolar epithelial cells,Normal
NCIH441,Cancer
CHO22,Normal
MDA­MB­231,Cancer
C17.2,Normal
hMSCs,Normal
HaCaT ,Normal
LoVo,Cancer
KEC,Normal
ECV304,Normal
THP­1,Cancer
NR8383,Normal
SW480,Cancer
J774,Cancer
Clone­9,Cancer
SK­Mel­28,Cancer
COS­1,Normal
Calu­3,Cancer
MDBK,Normal
Colo­205,Cancer
HEp­2,Cancer
HDF,Normal
HEK,Normal
UM­UC­3,Cancer
EJ28,Cancer
RAW264.7,Cancer
RAV264.7,Cancer
SVEC4-10,Normal
J774A.1,Cancer
MG-63,Cancer
BEC,Normal
ASM,Normal
Caco-2,Cancer
Neuron,Normal
HaCat,Normal
hNPC,Normal
Colo_205,Cancer
Calu-3,Cancer
SHSY5Y,Cancer
THP-1,Cancer
Lymphocyte,Normal
SKOV-3,Cancer
NIH3T3,Cancer
PK-15,Normal
HEK293,Normal
MCF-7,Cancer
SIRC,Normal
NHDF,Normal
HT29,Normal
Hepatocytes,Normal
HK-2,Cancer
WA09,Normal
H1299,Cancer
hFOB1.19,Normal
143B,Cancer
PBMC,Normal
A2780,Cancer
16HBE,Normal
BALB/c3T3,Normal
EBF,Normal
hMSC,Normal
L-02,Normal
neuro2A,Cancer
3T3-L1,Normal
Jurkat,Cancer
95D,Cancer
Ana-1,Normal
MBMC,Normal
PCLS,Normal
SV-80,Normal
Y-79,Cancer
K562,Cancer
UM-UC-3,Cancer
CHO-K1,Normal
BJ,Normal
HFL1,Normal
L-132,Normal
CCL-110,Normal
RFPEC,Normal
MDCK-II,Normal
HCT-116,Cancer
WISH,Cancer
HEBC3-KT,Normal
C6,Cancer
V79,Normal
mDF,Normal
hPDLF,Normal
U87,Cancer
C3A,Cancer
HEp-2,Cancer
TT1,Normal
AT2,Normal
MC3T3-E1,Cancer
HGF,Normal
HT-1080,Cancer
NRK-52E,Normal
BEAS-2B,Normal
MeT_5A,Normal
BEAS_2B,Normal
SH_SY5Y,Cancer
MCF_10A,Cancer
WI_38,Normal
Chang_Liver,Normal
L_02,Normal
V79_4,Normal
RAW264_7,Cancer
Caco_2,Cancer
HONDC,Normal